candidate,mode,alpha,illumination_threshold,selected,accepted,score,active_fraction,mean_alpha,mae_improvement_pct,rmse_improvement_pct,edge_mae_improvement_pct,mae_ms,rmse_ms,edge_mae
sqrt_alpha0.2_thr0.01,sqrt,0.2,0.01,False,False,0.2118850048724666,0.9826086956521739,0.11509740047990935,0.1800585462458217,0.03182645862664489,-0.015476347185509835,131.45498525883377,285.1486898131836,37.281357888825234
sqrt_alpha0.2_thr0.02,sqrt,0.2,0.02,False,False,0.21128445732637618,0.9826086956521739,0.11386530317504813,0.17954601476576185,0.03173844256061434,-0.014160591598712753,131.45566022234482,285.1489408697451,37.280867433180596
sqrt_alpha0.2_thr0.05,sqrt,0.2,0.05,False,False,0.20938386403345277,0.9826086956521739,0.10987624608875025,0.17792395878719947,0.0314599052462533,-0.010010815272573727,131.45779634205843,285.14973536810834,37.27932057961329
sqrt_alpha0.2_thr0.1,sqrt,0.2,0.1,False,False,0.20585378852942493,0.9826086956521739,0.1019671339762764,0.17491307659334654,0.030940711936078395,-0.002343504174918531,131.46176143629356,285.151216312362,37.276462544242
sqrt_alpha0.2_thr0.2,sqrt,0.2,0.2,False,True,0.2300540995087614,0.8636094674556213,0.07525289401183115,0.16743823960220391,0.02962745113088887,0.016494204387834322,131.4716052067083,285.1549622505413,37.269440677423155
sqrt_alpha0.2_thr0.3,sqrt,0.2,0.3,False,True,0.25910820079766617,0.49108567018266014,0.05070320718533177,0.1563934763071938,0.027717074250237863,0.03749882512011726,131.48615028833214,285.1604113994581,37.26161108133024
sqrt_alpha0.2_thr0.4,sqrt,0.2,0.4,False,True,0.2952794314298422,0.35495883714947263,0.03635717799114097,0.14208589491648976,0.024679933124893114,0.06425680169422966,131.50499224389145,285.1690745247508,37.25163688796063
sqrt_alpha0.2_thr0.5,sqrt,0.2,0.5,False,True,0.24508239642792226,0.25322227939284797,0.02443188814847927,0.10936706157362192,0.01806834795448817,0.05882349344990609,131.54808036528416,285.18793337534436,37.2536621856103
sqrt_alpha0.2_thr0.6,sqrt,0.2,0.6,False,True,0.14555469845634922,0.14967198353485978,0.013080118169901794,0.06547700542231828,0.009923839436982695,0.03507692679852413,131.60588010549992,285.2111647283907,37.26251385819433
sqrt_alpha0.2_thr0.7,sqrt,0.2,0.7,False,True,0.025526861946878837,0.05537046565474659,0.003633991661921269,0.018260259514799558,0.0019120414073060903,0.002677280512386593,131.6680608335874,285.23401753874305,37.274591017177926
